filename,true,pred
country.00082.6.wav,country,hiphop
country.00086.4.wav,country,blues
country.00090.4.wav,country,blues
country.00092.0.wav,country,metal
country.00092.1.wav,country,metal
country.00092.5.wav,country,metal
country.00092.6.wav,country,metal
country.00095.3.wav,country,blues
country.00095.4.wav,country,blues
country.00095.7.wav,country,jazz
country.00095.9.wav,country,rock
country.00099.1.wav,country,blues
country.00099.3.wav,country,hiphop
country.00099.7.wav,country,blues
disco.00000.7.wav,disco,reggae
disco.00004.0.wav,disco,pop
disco.00004.3.wav,disco,pop
disco.00004.6.wav,disco,pop
disco.00007.1.wav,disco,hiphop
disco.00007.4.wav,disco,hiphop
disco.00010.8.wav,disco,hiphop
disco.00015.6.wav,disco,pop
disco.00016.2.wav,disco,reggae
disco.00017.6.wav,disco,country
disco.00019.1.wav,disco,reggae
disco.00020.1.wav,disco,rock
disco.00021.0.wav,disco,pop
disco.00022.6.wav,disco,pop
disco.00023.8.wav,disco,pop
disco.00025.9.wav,disco,pop
disco.00026.8.wav,disco,pop
disco.00026.9.wav,disco,pop
disco.00027.2.wav,disco,reggae
disco.00027.3.wav,disco,hiphop
disco.00027.7.wav,disco,hiphop
disco.00027.9.wav,disco,hiphop
disco.00029.7.wav,disco,pop
disco.00030.7.wav,disco,hiphop
disco.00036.4.wav,disco,pop
disco.00038.2.wav,disco,jazz
disco.00039.3.wav,disco,pop
disco.00039.5.wav,disco,country
disco.00040.1.wav,disco,pop
disco.00040.7.wav,disco,hiphop
disco.00041.7.wav,disco,country
disco.00043.4.wav,disco,pop
disco.00043.6.wav,disco,pop
disco.00044.3.wav,disco,country
disco.00044.7.wav,disco,rock
disco.00047.6.wav,disco,classical
disco.00047.7.wav,disco,classical
disco.00048.3.wav,disco,metal
disco.00048.5.wav,disco,metal
disco.00048.6.wav,disco,rock
disco.00050.6.wav,disco,rock
disco.00052.4.wav,disco,blues
disco.00054.4.wav,disco,country
disco.00054.6.wav,disco,country
disco.00055.4.wav,disco,rock
disco.00057.1.wav,disco,rock
disco.00057.2.wav,disco,classical
disco.00057.5.wav,disco,rock
disco.00058.6.wav,disco,rock
disco.00059.7.wav,disco,country
disco.00064.6.wav,disco,reggae
disco.00064.9.wav,disco,reggae
disco.00065.1.wav,disco,blues
